col1,col2,col3,col4,col5,col6,col7,col8
54.08999938964844,27.945527092013887,54.13686724396355,40.0,100.0,100.0,50.0,100.0
54.17199935913086,27.05955754034505,54.09124482930904,60.0,80.0,100.0,55.0,100.0
54.22799987792969,27.632225186659053,54.24083019138181,20.0,100.0,53.333333333333336,60.0,100.0
54.33399963378906,28.1195224345392,54.33055290143229,40.0,60.0,60.0,65.0,86.66666666666667
54.41999969482422,28.87821195138488,54.52370188342557,20.0,80.0,66.66666666666667,5.0,90.0
54.455999755859374,26.55852754539754,54.45580115389179,40.0,100.0,73.33333333333333,10.0,93.33333333333331
54.46399993896485,23.50308832444754,54.31720107443698,60.0,20.0,80.0,15.0,96.66666666666669
54.45799942016602,20.921333818858432,54.381466823469054,80.0,40.0,86.66666666666667,20.0,100.0
54.50199966430664,22.032634562178806,54.49764439639148,100.0,60.0,93.33333333333331,25.0,100.0
54.44799957275391,23.85021470971109,54.54509606081047,40.0,80.0,100.0,30.0,80.0
54.45199966430664,23.592472868509144,54.476730758069614,60.0,100.0,100.0,35.0,83.33333333333334
54.47799911499023,21.774407315171626,54.37448656169485,80.0,20.0,93.33333333333331,40.0,86.66666666666667
54.50599975585938,20.715304349393733,54.46632488308954,100.0,40.0,100.0,44.99999999999999,90.0
54.48399963378906,18.040232340268997,54.51754956602129,40.0,60.0,86.66666666666667,50.0,93.33333333333331
54.51599960327148,15.844352938626244,54.61169945636771,20.0,80.0,93.33333333333331,55.0,96.66666666666669
54.60599975585937,14.911035359675992,54.67113327608759,40.0,100.0,100.0,60.0,100.0
54.77799987792969,13.489109015239462,54.790755110490686,20.0,80.0,73.33333333333333,5.0,100.0
54.94599990844726,13.07510558314341,55.02383729981607,20.0,100.0,80.0,5.0,76.66666666666667
55.08000030517578,11.202478661557114,55.112558505053165,40.0,80.0,86.66666666666667,10.0,80.0
55.17600021362305,12.311154073969428,55.16837192980108,60.0,100.0,93.33333333333331,15.0,83.33333333333334
55.31800003051758,14.27002792634178,55.278914619867386,20.0,100.0,100.0,5.0,86.66666666666667
55.44000015258789,15.636784383534906,55.39927620979441,20.0,60.0,73.33333333333333,5.0,90.0
55.59000015258789,16.103427235627827,55.67951803268521,20.0,80.0,80.0,5.0,93.33333333333331
55.74000015258789,16.902337995564533,55.79967899363259,40.0,100.0,86.66666666666667,10.0,96.66666666666669
55.8140007019043,19.26089514873297,55.74978650438136,60.0,100.0,93.33333333333331,15.0,100.0
55.810000610351565,23.72829711137023,55.65985751699969,80.0,20.0,100.0,20.0,100.0
55.864000701904295,27.444990815205102,55.74323829380384,100.0,40.0,93.33333333333331,25.0,96.66666666666669
55.84800033569336,30.660626555070817,55.882158811673264,20.0,60.0,100.0,30.0,100.0
55.75,31.97672019438621,55.77143895346903,40.0,80.0,93.33333333333331,35.0,93.33333333333331
55.70199966430664,33.69853489849631,55.65095925145006,60.0,20.0,100.0,40.0,96.66666666666669
55.53999938964844,33.72690801687736,55.32397222394849,80.0,20.0,6.666666666666671,44.99999999999999,100.0
55.34799957275391,33.12297807782062,55.199315070278814,100.0,40.0,13.333333333333329,50.0,86.66666666666667
54.869999694824216,35.28010382697066,54.7228768661071,100.0,20.0,6.666666666666671,55.0,3.3333333333333286
54.63199996948242,35.992624137686,54.60191811418859,100.0,40.0,13.333333333333329,60.0,6.666666666666671
54.4620002746582,35.30276234030942,54.587945867222736,80.0,60.0,20.0,65.0,10.0
54.3520004272461,35.27430797936825,54.43196355544342,100.0,80.0,26.66666666666667,70.0,13.333333333333329
54.24000015258789,36.90451721353863,54.41797550017843,60.0,100.0,33.33333333333334,75.0,16.666666666666657
54.35,37.89514210029181,54.3853168983937,80.0,60.0,40.0,80.0,20.0
54.32999954223633,38.25355909856264,54.34354403944021,100.0,80.0,46.66666666666666,85.0,23.33333333333333
